adp,player,position,posabbr,onepos
138,Oscar McInerney,Ruck,RUC,RUC
139,Jack Bowes,Defender,DEF,DEF
140,Brodie Smith,Defender,DEF,DEF
141,Rory Sloane,Midfielder,MID,MID
142,Liam Duggan,Defender/Midfielder,DEF/MID,DEF
143,Shaun Higgins,Forward,FWD,FWD
144,Joel Selwood,Midfielder,MID,MID
145,Luke Davies-Uniacke,Midfielder,MID,MID
146,Hunter Clark,Defender/Midfielder,DEF/MID,DEF
147,Jye Caldwell,Midfielder,MID,MID
148,David Swallow,Midfielder,MID,MID
149,Darcy Byrne-Jones,Defender,DEF,DEF
150,Kyle Langford,Midfielder,MID,MID
151,Peter Ladhams,Ruck/Forward,RUC/FWD,FWD
152,Justin McInerney,Defender/Midfielder,DEF/MID,DEF
153,Blake Hardwick,Defender,DEF,DEF
154,Luke Jackson,Ruck/Forward,RUC/FWD,FWD
155,Tom Hickey,Ruck,RUC,RUC
156,Jamie Elliott,Forward,FWD,FWD
157,Jason Horne-Francis,Midfielder,MID,MID
158,Callan Ward,Midfielder,MID,MID
159,Ed Langdon,Midfielder,MID,MID
160,Will Brodie,Midfielder/Forward,MID/FWD,FWD
161,Zac Williams,Defender,DEF,DEF
162,Cam Rayner,Forward,FWD,FWD
163,Jarrod Berry,Midfielder,MID,MID
164,Jack Billings,Midfielder,MID,MID
165,Jack Sinclair,Defender,DEF,DEF
166,Patrick Lipinski,Midfielder,MID,MID
167,Tim Membrey,Forward,FWD,FWD
168,Tom Powell,Midfielder/Forward,MID/FWD,FWD
169,Nick Vlastuin,Defender,DEF,DEF
170,Hayden Young,Defender,DEF,DEF
171,Tom Green,Midfielder,MID,MID
172,Liam Shiels,Midfielder,MID,MID
173,James Harmes,Midfielder,MID,MID
174,Wayne Milera,Defender,DEF,DEF
175,Changkuoth Jiath,Defender,DEF,DEF
176,Sam Draper,Ruck,RUC,RUC
177,Bradley Hill,Defender,DEF,DEF
178,Joe Daniher,Forward,FWD,FWD
179,Liam Baker,Defender,DEF,DEF
180,Nick Haynes,Defender,DEF,DEF
181,Willem Drew,Midfielder,MID,MID
182,John Noble,Defender,DEF,DEF
183,Wil Powell,Defender,DEF,DEF
184,Ryan Burton,Defender,DEF,DEF
185,Steven May,Defender,DEF,DEF
186,Brandan Parfitt,Midfielder,MID,MID
187,James Rowbottom,Midfielder,MID,MID
188,Harry McKay,Forward,FWD,FWD
189,Tom McDonald,Forward,FWD,FWD
190,Robbie Gray,Forward,FWD,FWD
191,Jacob Weitering,Defender,DEF,DEF
192,Dylan Moore,Forward,FWD,FWD
193,Darcy Moore,Defender,DEF,DEF
194,Darcy Tucker,Defender,DEF,DEF
195,Rhys Stanley,Ruck,RUC,RUC
196,Dan Hannebery,Midfielder,MID,MID
197,Jack Martin,Forward,FWD,FWD
198,Jeremy Cameron,Forward,FWD,FWD
199,Josh Rachele,Midfielder/Forward,MID/FWD,FWD
200,Daniel Rioli,Defender/Forward,DEF/FWD,FWD
201,Charlie Constable,Midfielder,MID,MID
202,Alex Neal-Bullen,Forward,FWD,FWD
203,Josh Daicos,Midfielder,MID,MID
204,Conor Nash,Midfielder/Forward,MID/FWD,FWD
205,Jeremy Sharp,Midfielder,MID,MID
206,Peter Wright,Ruck/Forward,RUC/FWD,FWD
207,Josh Ward,Midfielder,MID,MID
208,Ben Ainsworth,Forward,FWD,FWD
209,Will Day,Defender,DEF,DEF
210,Jared Polec,Midfielder,MID,MID
211,Sebastian Ross,Midfielder,MID,MID
212,Daniel Howe,Midfielder,MID,MID
213,Jonathon Ceglar,Ruck,RUC,RUC
214,Devon Smith,Forward,FWD,FWD
215,Harry Schoenberg,Midfielder,MID,MID
216,Oliver Florent,Midfielder,MID,MID
217,Jack Gunston,Forward,FWD,FWD
218,Braydon Preuss,Ruck,RUC,RUC
219,Trent Cotchin,Midfielder,MID,MID
220,Paddy Ryder,Ruck,RUC,RUC
221,Luke McDonald,Midfielder,MID,MID
222,Aaron Naughton,Forward,FWD,FWD
223,Lance Franklin,Forward,FWD,FWD
224,Michael Hurley,Defender,DEF,DEF
225,Finn Callaghan,Midfielder,MID,MID
226,Elijah Hollands,Midfielder/Forward,MID/FWD,FWD
227,Tristan Xerri,Forward,FWD,FWD
228,Adam Saad,Defender,DEF,DEF
229,Chad Warner,Midfielder,MID,MID
230,Jordan Clark,Midfielder,MID,MID
231,Trent Dumont,Midfielder,MID,MID
232,Zac Fisher,Forward,FWD,FWD
233,Greg Clark,Midfielder,MID,MID
234,Sam Naismith,Ruck,RUC,RUC
235,Will Phillips,Midfielder/Forward,MID/FWD,FWD
236,Hugo Ralphsmith,Midfielder/Forward,MID/FWD,FWD
237,Harvey Harrison,Midfielder,MID,MID
238,Will Setterfield,Midfielder,MID,MID
239,Oleg Markov,Defender,DEF,DEF
240,Ben Hobbs,Midfielder,MID,MID
241,Neil Erasmus,Midfielder,MID,MID
242,Matty Roberts,Midfielder,MID,MID
243,Sam Powell-Pepper,Midfielder/Forward,MID/FWD,FWD
244,Riley Bonner,Defender/Midfielder,DEF/MID,DEF
245,Jack Higgins,Forward,FWD,FWD
246,Isaac Quaynor,Defender,DEF,DEF
247,Arlo Draper,Midfielder,MID,MID
248,Mitch Robinson,Midfielder,MID,MID
249,Charlie Cameron,Forward,FWD,FWD
250,Tom Phillips,Midfielder,MID,MID
251,Keidean Coleman,Defender/Forward,DEF/FWD,FWD
252,Josh Rotham,Defender,DEF,DEF
253,Taylor Walker,Forward,FWD,FWD
254,Xavier Duursma,Midfielder,MID,MID
255,Hugh Jackson,Midfielder,MID,MID
256,Daniel McStay,Forward,FWD,FWD
257,Heath Chapman,Defender,DEF,DEF
258,Archie Perkins,Forward,FWD,FWD
259,Lachlan Bramble,Defender,DEF,DEF
260,Nick Blakey,Defender,DEF,DEF
261,Lachie Fogarty,Forward,FWD,FWD
262,Mitch McGovern,Forward,FWD,FWD
263,Rory Lobb,Forward,FWD,FWD
264,Robbie McComb,Midfielder,MID,MID
265,Jeremy McGovern,Defender,DEF,DEF
266,Bayley Fritsch,Forward,FWD,FWD
267,Brad Sheppard,Defender,DEF,DEF
268,Jack Silvagni,Forward,FWD,FWD
269,Kieran Strachan,Ruck,RUC,RUC
270,Charlie Curnow,Forward,FWD,FWD
271,Liam Henry,Forward,FWD,FWD
272,Josh Sinn,Defender/Midfielder,DEF/MID,DEF
273,Matt Flynn,Ruck,RUC,RUC
274,James Jordon,Midfielder,MID,MID
275,Braeden Campbell,Defender,DEF,DEF
276,Andrew Phillips,Ruck,RUC,RUC
277,Marc Pittonet,Ruck,RUC,RUC
278,Tom De Koning,Ruck,RUC,RUC
279,Callum Sinclair,Ruck/Forward,RUC/FWD,FWD
280,Jesse Hogan,Forward,FWD,FWD
281,Aliir Aliir,Defender,DEF,DEF
282,Mark Blicavs,Defender,DEF,DEF
283,Jamie Cripps,Forward,FWD,FWD
284,Angus Brayshaw,Midfielder,MID,MID
285,Tom Papley,Forward,FWD,FWD
286,Darcy Macpherson,Forward,FWD,FWD
287,Mabior Chol,Ruck,RUC,RUC
288,Tyler Sonsie,Midfielder,MID,MID
289,Charlie Dixon,Forward,FWD,FWD
290,Kysaiah Pickett,Forward,FWD,FWD
291,Connor MacDonald,Midfielder,MID,MID
292,Taylor Duryea,Defender,DEF,DEF
293,Matt Taberner,Forward,FWD,FWD
294,James Aish,Defender,DEF,DEF
295,Josh Caddy,Midfielder,MID,MID
296,Lachlan Sholl,Midfielder,MID,MID
297,Callum Coleman-Jones,Ruck/Forward,RUC/FWD,FWD
298,Ned Reeves,Ruck,RUC,RUC
299,Tim O'Brien,Defender/Forward,DEF/FWD,FWD
300,Sam Taylor,Defender,DEF,DEF
301,Harris Andrews,Defender,DEF,DEF
302,Harry Morrison,Midfielder/Forward,MID/FWD,FWD
303,Gryan Miers,Forward,FWD,FWD
304,Jai Newcombe,Midfielder,MID,MID
305,Tom Doedee,Defender,DEF,DEF
306,Mason Redman,Defender,DEF,DEF
307,Bailey Williams,Defender,DEF,DEF
308,Trent Bianco,Forward,FWD,FWD
309,Dane Rampe,Defender,DEF,DEF
310,Max Holmes,Midfielder/Forward,MID/FWD,FWD
311,Sam Petrevski-Seton,Defender,DEF,DEF
312,Campbell Chesser,Defender/Midfielder,DEF/MID,DEF
313,Ivan Soldo,Ruck,RUC,RUC
314,Ryan Byrnes,Midfielder/Forward,MID/FWD,FWD
315,Caleb Poulter,Midfielder,MID,MID
316,Jake Lever,Defender,DEF,DEF
317,Jack Henry,Defender,DEF,DEF
318,Will Hoskin-Elliott,Midfielder,MID,MID
319,Cameron Zurhaar,Forward,FWD,FWD
320,Jack Darling,Forward,FWD,FWD
321,Willie Rioli,Forward,FWD,FWD
322,Trent Rivers,Defender,DEF,DEF
323,Blake Acres,Midfielder,MID,MID
324,Nik Cox,Midfielder,MID,MID
325,Tom Atkins,Defender,DEF,DEF
326,Darcy Cameron,Forward,FWD,FWD
327,Esava Ratugolea,Ruck/Forward,RUC/FWD,FWD
328,Miles Bergman,Midfielder,MID,MID
329,Trent McKenzie,Defender,DEF,DEF
330,Cooper Sharman,Forward,FWD,FWD
331,Harry Cunningham,Defender,DEF,DEF
332,Steven Motlop,Forward,FWD,FWD
333,Toby McLean,Forward,FWD,FWD
334,Nick Holman,Forward,FWD,FWD
335,Lincoln McCarthy,Forward,FWD,FWD
336,Jake Waterman,Forward,FWD,FWD
337,Will Hayward,Forward,FWD,FWD
0,Taj Woewodin,Midfielder,MID,MID
0,Angus Sheldrick,Midfielder,MID,MID
0,Brady Hough,Midfielder,MID,MID
0,Mitch Owens,Midfielder,MID,MID
